Longitude,Latitude,Average Cost for two,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating text,Votes,Online delivery
-47.889,-15.7865,230,No,No,No,4,4.2,Very Good,17,0
-47.872359,-15.860621,100,No,No,No,4,3.6,Good,5,0
-47.95628333,-15.83451389,150,No,No,No,4,4.0,Very Good,10,0
-47.87283333,-15.82566667,240,No,No,No,4,3.2,Average,6,0
-47.8685,-15.819,230,No,No,No,4,4.9,Excellent,30,0
-47.885812,-15.720118,350,No,No,No,4,3.3,Average,8,0
-47.92102778,-15.79753056,50,No,No,No,2,3.6,Good,9,0
-43.377,-23.0115,140,No,No,No,4,4.0,Very Good,7,0
-43.178826,-22.905293,100,No,No,No,4,4.8,Excellent,29,0
-43.18669167,-22.97207222,60,No,No,No,3,4.7,Excellent,24,0
-43.17583333,-22.96216667,90,No,No,No,3,4.5,Excellent,29,0
-43.176,-22.96516667,170,No,No,No,4,4.2,Very Good,11,0
-43.191,-22.98683333,60,No,No,No,3,4.8,Excellent,19,0
-43.227042,-22.973507,100,No,No,No,4,4.9,Excellent,40,0
-43.211425,-22.98520833,90,No,No,No,3,4.6,Excellent,21,0
-43.203,-22.98533333,120,No,No,No,4,4.9,Excellent,49,0
-43.20520833,-22.98531944,170,No,No,No,4,4.6,Excellent,21,0
-43.219563,-22.966647,90,No,No,No,3,4.3,Very Good,14,0
-43.34879167,-22.99991111,150,No,No,No,4,4.0,Very Good,5,0
-43.227,-22.98416667,250,No,No,No,4,4.6,Excellent,25,0
-43.22566667,-22.98516667,120,No,No,No,4,4.4,Very Good,13,0
-43.17279167,-22.963925,40,No,No,No,2,4.2,Very Good,7,0
-43.17126389,-22.96337222,250,No,No,No,4,4.2,Very Good,8,0
-43.18736944,-22.92481389,300,No,No,No,4,4.7,Excellent,44,0
-43.21551111,-22.91370833,85,No,No,No,3,4.6,Excellent,24,0
-43.16266667,-22.94783333,80,No,No,No,3,4.3,Very Good,10,0
-46.64516667,-23.55066667,250,No,No,No,4,4.5,Excellent,49,0
-46.64633333,-23.559,250,No,No,No,4,4.4,Very Good,17,0
-46.65866667,-23.55616667,70,No,No,No,3,3.1,Average,5,0
-46.657523,-23.55671,100,No,No,No,4,4.1,Very Good,15,0
-46.666851,-23.581688,300,No,No,No,4,4.8,Excellent,59,0
-46.67511,-23.582135,120,No,No,No,4,4.6,Excellent,30,0
-46.683888,-23.585324,75,No,No,No,3,3.9,Good,5,0
-46.666041,-23.561568,200,No,No,No,4,3.4,Average,73,0
-46.657418,-23.571638,120,No,No,No,4,3.5,Good,9,0
-46.66983333,-23.5655,300,No,No,No,4,4.3,Very Good,39,0
-46.67133333,-23.59233333,230,No,No,No,4,3.9,Good,12,0
-46.68133333,-23.56483333,120,No,No,No,4,4.3,Very Good,68,0
-46.64159444,-23.54664167,150,No,No,No,4,4.3,Very Good,46,0
-46.643425,-23.545163,400,No,No,No,4,4.4,Very Good,37,0
-46.581672,-23.486535,100,No,No,No,4,4.4,Very Good,22,0
-46.63566667,-23.58516667,70,No,No,No,3,4.6,Excellent,58,0
-46.746958,-23.609207,120,No,No,No,4,4.1,Very Good,11,0
-84.221535,31.610387,25,No,No,No,2,3.3,Average,35,0
-84.207095,31.608743,10,No,No,No,1,3.3,Average,25,0
-84.2194,31.6158,0,No,No,No,1,3.4,Average,45,0
-84.206944,31.622412,10,No,No,No,1,3.4,Average,26,0
-84.2193,31.616,10,No,No,No,1,3.5,Good,67,0
-84.2091458,31.6155186,10,No,No,No,1,3.9,Good,141,0
-84.205718,31.604905,25,No,No,No,2,3.7,Good,147,0
-84.223278,31.612121,70,No,No,No,4,3.5,Good,51,0
-84.2191,31.6156,25,No,No,No,2,3.6,Good,88,0
-84.212,31.6104,10,No,No,No,1,3.8,Good,153,0
-84.2228,31.6077,25,No,No,No,2,3.5,Good,57,0
-84.2229,31.6185,25,No,No,No,2,3.5,Good,58,0
-84.2164,31.6137,40,No,No,No,3,3.6,Good,115,0
-84.2233,31.6118,40,No,No,No,3,3.5,Good,51,0
-84.205025,31.605882,40,No,No,No,3,3.8,Good,250,0
-84.1757,31.5985,10,No,No,No,1,3.7,Good,117,0
-83.8389,31.5308,10,No,No,No,1,3.4,Average,20,0
151.6688792,-30.5147169,20,No,No,No,2,3.5,Good,25,0
-83.378273,33.957999,40,No,No,No,3,4.5,Excellent,1821,0
-83.3654,33.9535,10,No,No,No,1,4.5,Excellent,849,0
-83.4293,33.9652,10,No,No,No,1,4.6,Excellent,917,0
-83.3389,33.9259,10,No,No,No,1,3.9,Good,439,0
-83.375523,33.958198,10,No,No,No,1,3.7,Good,289,0
-83.384004,33.959392,10,No,No,No,1,4.3,Very Good,558,0
-83.3797,33.9584,10,No,No,No,1,4.2,Very Good,613,0
-83.373596,33.958112,25,No,No,No,2,4.0,Very Good,353,0
-83.33995,33.924275,25,No,No,No,2,4.1,Very Good,387,0
-83.3872482,33.9415545,40,No,No,No,3,4.3,Very Good,755,0
-83.381625,33.960112,10,No,No,No,1,4.2,Very Good,800,0
-83.400887,33.963296,10,No,No,No,1,4.1,Very Good,350,0
-83.4075,33.9584,40,No,No,No,3,4.1,Very Good,464,0
-83.379251,33.957503,25,No,No,No,2,4.2,Very Good,550,0
-83.383605,33.960571,10,No,No,No,1,4.1,Very Good,543,0
-83.37967,33.959468,40,No,No,No,3,4.1,Very Good,465,0
-83.38728,33.937502,10,No,No,No,1,4.4,Very Good,546,0
-83.3764,33.9584,10,No,No,No,1,4.4,Very Good,1098,0
-83.378881,33.958363,25,No,No,No,2,4.2,Very Good,579,0
-83.3828224,33.9600227,10,No,No,No,1,4.1,Very Good,374,0
-82.0865,33.4721,40,No,No,No,3,4.6,Excellent,717,0
-82.0698,33.4791,40,No,No,No,3,4.9,Excellent,548,0
-81.97,33.4765,25,No,No,No,2,4.5,Excellent,631,0
-81.9684,33.474,10,No,No,No,1,3.9,Good,372,0
-81.973006,33.477444,25,No,No,No,2,3.9,Good,201,0
-81.965571,33.481779,40,No,No,No,3,3.8,Good,332,0
-82.0327,33.4086,25,No,No,No,2,3.5,Good,304,0
-81.974944,33.478231,40,No,No,No,3,4.3,Very Good,368,0
-82.096,33.4827,25,No,No,No,2,4.1,Very Good,430,0
-81.9721,33.4778,25,No,No,No,2,4.4,Very Good,433,0
-81.9694,33.4764,10,No,No,No,1,4.0,Very Good,380,0
-82.0505,33.5133,25,No,No,No,2,4.0,Very Good,456,0
-82.0301,33.4848,40,No,No,No,3,4.2,Very Good,647,0
-82.080788,33.467201,40,No,No,No,3,4.0,Very Good,360,0
-82.0805493,33.5375868,25,No,No,No,2,4.0,Very Good,227,0
-82.143793,33.544342,25,No,No,No,2,3.9,Good,290,0
-82.126161,33.532249,10,No,No,No,1,4.1,Very Good,270,0
-82.141284,33.521291,25,No,No,No,2,4.0,Very Good,326,0
-82.1328,33.5406,35,No,No,No,3,4.3,Very Good,317,0
-82.1997,33.4574,10,No,No,No,1,4.2,Very Good,300,0
115.9844924,-33.7845269,20,No,No,No,2,3.2,Average,21,0
146.685852,-36.360439,20,No,No,No,2,4.6,Excellent,237,0
-116.2019,43.6138,25,No,No,No,2,4.5,Excellent,879,0
-116.203466,43.616068,25,No,No,No,2,4.6,Excellent,615,0
-116.2023,43.6149,25,No,No,No,2,4.5,Excellent,879,0
-116.2064,43.6157,70,No,No,No,4,3.9,Good,379,0
-116.2031,43.614,10,No,No,No,1,4.3,Very Good,303,0
-116.185034,43.597235,70,No,No,No,4,4.1,Very Good,538,0
-116.2062,43.5945,10,No,No,No,1,4.2,Very Good,334,0
-116.2022,43.6167,25,No,No,No,2,4.3,Very Good,555,0
-116.193409,43.610279,10,No,No,No,1,4.4,Very Good,823,0
-116.2625,43.6192,25,No,No,No,2,4.1,Very Good,550,0
-116.202845,43.616295,25,No,No,No,2,4.4,Very Good,650,0
-116.199,43.615,10,No,No,No,1,4.3,Very Good,410,0
-116.2463,43.6191,10,No,No,No,1,4.4,Very Good,660,0
-116.245165,43.6051379,25,No,No,No,2,4.4,Very Good,360,0
-116.2021,43.6162,40,No,No,No,3,4.0,Very Good,340,0
-116.2031,43.6156,25,No,No,No,2,4.1,Very Good,393,0
-116.281809,43.619274,10,No,No,No,1,4.3,Very Good,422,0
-116.280614,43.591706,40,No,No,No,3,4.0,Very Good,435,0
-116.347304,43.619108,25,No,No,No,2,4.0,Very Good,369,0
-116.5629,43.5777,40,No,No,No,3,4.4,Very Good,487,0
-91.6336,42.0179,40,No,No,No,3,3.7,Good,98,0
-91.6327,42.0281,40,No,No,No,3,4.1,Very Good,365,0
-91.7148,41.9748,10,No,No,No,1,4.1,Very Good,190,0
-91.6224,42.0249,40,No,No,No,3,4.1,Very Good,429,0
-91.6347,42.01,25,No,No,No,2,4.4,Very Good,430,0
-91.6499622,42.0215347,25,No,No,No,2,4.2,Very Good,186,0
-91.7266,41.9639,10,No,No,No,1,4.2,Very Good,220,0
-91.6394,42.0468,10,No,No,No,1,4.2,Very Good,347,0
-91.569767,41.670466,25,No,No,No,2,3.8,Good,161,0
-91.5687,41.6685,25,No,No,No,2,4.1,Very Good,160,0
-91.534424,41.660982,10,No,No,No,1,4.9,Excellent,820,0
-91.531414,41.663849,10,No,No,No,1,4.5,Excellent,488,0
-91.531093,41.663751,25,No,No,No,2,3.6,Good,253,0
-91.534302,41.658691,40,No,No,No,3,3.8,Good,220,0
-91.5314,41.6648,25,No,No,No,2,4.3,Very Good,485,0
-91.5341,41.661,40,No,No,No,3,4.3,Very Good,428,0
-91.482165,41.667742,25,No,No,No,2,4.1,Very Good,294,0
-91.5318,41.6625,40,No,No,No,3,4.0,Very Good,380,0
-91.5074,41.6428,25,No,No,No,2,4.2,Very Good,259,0
-91.5995,42.0331,25,No,No,No,2,4.7,Excellent,433,0
-82.188438,42.397683,25,No,No,No,2,3.7,Good,176,0
-123.368151,46.126967,10,No,No,No,1,4.3,Very Good,96,0
-114.472474,51.183934,25,No,No,No,2,3.1,Average,6,0
-84.992671,32.470315,10,No,No,No,1,3.3,Average,33,0
-84.95591,32.519247,25,No,No,No,2,4.6,Excellent,489,0
-84.927047,32.555591,25,No,No,No,2,4.5,Excellent,345,0
-84.9436,32.5577,25,No,No,No,2,3.8,Good,149,0
-84.9936,32.4656,25,No,No,No,2,3.9,Good,330,0
-84.954984,32.5382197,40,No,No,No,3,3.9,Good,247,0
-84.9876,32.4637,10,No,No,No,1,3.7,Good,123,0
-84.9933631,32.4652417,40,No,No,No,3,3.6,Good,109,0
-84.96661,32.534002,40,No,No,No,3,3.7,Good,134,0
-84.95367,32.513154,40,No,No,No,3,4.2,Very Good,722,0
-84.947569,32.504657,25,No,No,No,2,4.3,Very Good,213,0
-84.9607,32.5393,25,No,No,No,2,4.0,Very Good,335,0
-84.9464,32.4792,25,No,No,No,2,4.0,Very Good,353,0
-84.9427,32.481,0,No,No,No,1,4.0,Very Good,170,0
-84.9557,32.5321,25,No,No,No,2,4.1,Very Good,192,0
-84.992093,32.466158,40,No,No,No,3,4.1,Very Good,302,0
-84.938698,32.560905,10,No,No,No,1,4.2,Very Good,355,0
-84.991384,32.468757,25,No,No,No,2,4.3,Very Good,287,0
-84.963201,32.527217,40,No,No,No,3,4.0,Very Good,264,0
-85.0213,32.7455,40,No,No,No,3,4.4,Very Good,235,0
-110.7746994,52.0082889,25,No,No,No,2,3.0,Average,6,0
-84.9396931,34.5251331,25,No,No,No,2,3.7,Good,38,0
-84.926258,34.474635,10,No,No,No,1,4.4,Very Good,122,0
-84.9523921,34.4972488,25,No,No,No,2,4.4,Very Good,207,0
-84.767911,34.752476,10,No,No,No,1,3.9,Good,66,0
-84.969393,34.769686,10,No,No,No,1,4.9,Excellent,249,0
-85.0039,34.7643,25,No,No,No,2,3.8,Good,63,0
-84.992342,34.759551,40,No,No,No,3,3.8,Good,145,0
-84.992924,34.759665,10,No,No,No,1,3.8,Good,83,0
-84.999678,34.758645,25,No,No,No,2,3.7,Good,116,0
-84.9678,34.7742,10,No,No,No,1,4.1,Very Good,122,0
-84.990925,34.759273,10,No,No,No,1,4.1,Very Good,142,0
-84.9964,34.7604,10,No,No,No,1,4.1,Very Good,114,0
-85.2229101,34.9428786,25,No,No,No,2,4.6,Excellent,214,0
-85.246237,34.9528157,10,No,No,No,1,4.3,Very Good,116,0
-85.2545,34.9546,25,No,No,No,2,4.2,Very Good,111,0
-85.294955,34.705093,10,No,No,No,1,3.7,Good,25,0
-85.1321,34.9273,10,No,No,No,1,4.1,Very Good,128,0
-85.130492,34.912109,10,No,No,No,1,4.3,Very Good,244,0
-85.1079396,34.9151853,10,No,No,No,1,4.2,Very Good,112,0
-85.249727,34.851907,10,No,No,No,1,4.1,Very Good,144,0
-90.496986,41.574935,25,No,No,No,2,4.6,Excellent,166,0
-90.522479,41.53845,40,No,No,No,3,4.5,Excellent,208,0
-90.4912446,41.5747801,25,No,No,No,2,3.9,Good,136,0
-90.504176,41.548746,10,No,No,No,1,4.0,Very Good,85,0
-90.50709,41.525384,25,No,No,No,2,4.1,Very Good,117,0
-90.574088,41.593892,25,No,No,No,2,3.4,Average,53,0
-90.565837,41.574459,25,No,No,No,2,4.9,Excellent,474,0
-90.5716,41.5604,10,No,No,No,1,3.9,Good,125,0
-90.5737,41.5223,70,No,No,No,4,3.7,Good,201,0
-90.5683,41.5699,0,No,No,No,1,4.3,Very Good,167,0
-90.5321,41.5749,25,No,No,No,2,4.0,Very Good,112,0
-90.5432,41.5747,25,No,No,No,2,4.1,Very Good,256,0
-90.572418,41.520389,10,No,No,No,1,4.3,Very Good,123,0
-90.5137,41.5745,25,No,No,No,2,4.0,Very Good,199,0
-90.5686,41.559,25,No,No,No,2,4.1,Very Good,157,0
-90.6136,41.5944,25,No,No,No,2,4.1,Very Good,100,0
-90.515175,41.570997,40,No,No,No,3,4.2,Very Good,141,0
-90.517,41.5747,25,No,No,No,2,4.2,Very Good,197,0
-93.610084,42.010254,25,No,No,No,2,4.5,Excellent,1025,0
-93.643094,42.048779,25,No,No,No,2,4.9,Excellent,570,0
-93.677638,41.614965,40,No,No,No,3,4.5,Excellent,674,0
-93.739573,41.600564,25,No,No,No,2,4.1,Very Good,496,0
-93.760027,41.60028,25,No,No,No,2,4.0,Very Good,411,0
-93.627896,41.583309,25,No,No,No,2,3.2,Average,113,0
-93.6300803,41.5857431,40,No,No,No,3,4.5,Excellent,1109,0
-93.621631,41.585465,25,No,No,No,2,4.6,Excellent,728,0
-93.637401,41.587219,10,No,No,No,1,4.4,Very Good,659,0
-93.620726,41.58536,40,No,No,No,3,4.2,Very Good,370,0
-93.629436,41.584027,40,No,No,No,3,4.3,Very Good,532,0
-93.611366,41.590819,25,No,No,No,2,4.8,Excellent,860,0
-93.61474,41.590106,10,No,No,No,1,4.2,Very Good,943,0
-93.577383,41.601415,70,No,No,No,4,4.1,Very Good,476,0
-93.645245,41.545869,10,No,No,No,1,4.1,Very Good,218,0
-93.6976773,41.6714654,10,No,No,No,1,4.0,Very Good,214,0
-93.659797,41.603901,25,No,No,No,2,4.3,Very Good,699,0
-93.772033,41.615083,25,No,No,No,2,3.8,Good,308,0
-93.73624,41.594039,25,No,No,No,2,4.0,Very Good,157,0
-93.7441981,41.5991771,40,No,No,No,3,4.2,Very Good,530,0
153.137401,-26.783576,7,No,No,No,1,3.6,Good,29,0
-90.667668,42.504759,10,No,No,No,1,3.4,Average,33,0
-90.6499328,42.5124724,25,No,No,No,2,3.3,Average,40,0
-90.6684746,42.5032004,10,No,No,No,1,3.4,Average,153,0
-90.658609,42.496464,25,No,No,No,2,3.3,Average,65,0
-90.664029,42.495689,25,No,No,No,2,3.4,Average,58,0
-90.715247,42.492018,25,No,No,No,2,3.5,Good,100,0
-90.740213,42.49092,10,No,No,No,1,3.6,Good,156,0
-90.7264,42.4955,0,No,No,No,1,3.5,Good,74,0
-90.645294,42.516621,25,No,No,No,2,3.6,Good,117,0
-90.712084,42.492963,40,No,No,No,3,3.7,Good,83,0
-90.6646,42.5043,25,No,No,No,2,3.6,Good,48,0
-90.668164,42.503075,40,No,No,No,3,3.8,Good,198,0
-90.7055,42.4916,10,No,No,No,1,3.5,Good,126,0
-90.6677349,42.500191,10,No,No,No,1,3.5,Good,119,0
-90.6691,42.5048,25,No,No,No,2,3.6,Good,140,0
-90.6651,42.4974,40,No,No,No,3,3.6,Good,159,0
-90.6658,42.4963,25,No,No,No,2,3.6,Good,131,0
-90.663686,42.4982789,10,No,No,No,1,3.5,Good,60,0
-90.684882,42.527556,25,No,No,No,2,3.7,Good,89,0
-90.658988,42.496378,70,No,No,No,4,3.6,Good,72,0
153.593331,-28.862663,20,No,No,No,2,4.1,Very Good,56,0
-119.252694,39.607515,10,No,No,No,1,3.7,Good,83,0
152.8771473,-26.6521332,30,No,No,No,3,3.5,Good,37,0
143.714315,-38.517292,20,No,No,No,2,3.7,Good,29,0
-83.8461,34.0901,25,No,No,No,2,4.4,Very Good,239,0
-83.520693,34.61802,10,No,No,No,1,4.1,Very Good,235,0
-83.985353,34.532973,25,No,No,No,2,3.8,Good,88,0
-83.983939,34.533626,10,No,No,No,1,3.9,Good,133,0
-83.989317,34.541044,10,No,No,No,1,4.4,Very Good,267,0
-83.986119,34.533198,25,No,No,No,2,4.1,Very Good,171,0
-83.938024,34.183573,25,No,No,No,2,3.8,Good,107,0
-83.926217,34.185707,40,No,No,No,3,4.3,Very Good,164,0
-83.927794,34.180043,10,No,No,No,1,4.1,Very Good,182,0
-83.838457,34.285102,25,No,No,No,2,4.9,Excellent,681,0
-83.857993,34.300182,10,No,No,No,1,4.6,Excellent,357,0
-83.860098,34.222755,25,No,No,No,2,3.8,Good,89,0
-83.824023,34.300567,25,No,No,No,2,4.2,Very Good,350,0
-83.8272,34.3166,10,No,No,No,1,4.3,Very Good,298,0
-83.82686,34.300332,25,No,No,No,2,4.2,Very Good,319,0
-83.727741,34.701594,40,No,No,No,3,3.8,Good,114,0
-83.7345,34.7024,10,No,No,No,1,3.9,Good,136,0
-83.7334,34.7021,25,No,No,No,2,2.2,Poor,108,0
-83.713498,34.691208,10,No,No,No,1,4.0,Very Good,161,0
144.1387014,-37.3123267,20,No,No,No,2,3.8,Good,192,0
144.110062,-37.275494,7,No,No,No,1,3.8,Good,93,0
150.6710743,-35.0388698,20,No,No,No,2,4.1,Very Good,40,0
145.7287133,-38.6347458,7,No,No,No,1,3.7,Good,100,0
147.9942247,-37.8783865,7,No,No,No,1,3.8,Good,97,0
-120.3458,42.1885,10,No,No,No,1,3.6,Good,41,0
-96.7072,40.8143,25,No,No,No,2,4.5,Excellent,799,0
151.558475,-32.728097,20,No,No,No,2,3.6,Good,18,0
144.564174,-37.423189,20,No,No,No,2,3.5,Good,31,0
-83.594494,32.567741,25,No,No,No,2,3.9,Good,146,0
-83.657061,32.853896,10,No,No,No,1,4.9,Excellent,478,0
-83.6737,32.8496,25,No,No,No,2,4.6,Excellent,467,0
-83.6766,32.8899,25,No,No,No,2,4.5,Excellent,302,0
-83.6279,32.8361,25,No,No,No,2,4.5,Excellent,289,0
-83.713978,32.929278,40,No,No,No,3,4.1,Very Good,293,0
-83.6276,32.8375,70,No,No,No,4,4.0,Very Good,195,0
-83.628703,32.83654,10,No,No,No,1,4.3,Very Good,244,0
-83.787993,32.928495,70,No,No,No,4,4.2,Very Good,379,0
-83.6873,32.901,10,No,No,No,1,4.2,Very Good,223,0
-83.662421,32.556873,25,No,No,No,2,3.7,Good,243,0
-83.624,32.5786,25,No,No,No,2,3.7,Good,104,0
-83.6665,32.6184,10,No,No,No,1,3.7,Good,153,0
-83.691044,32.552684,25,No,No,No,2,3.8,Good,323,0
-83.64935,32.594666,10,No,No,No,1,4.1,Very Good,181,0
-83.636618,32.6176839,25,No,No,No,2,4.0,Very Good,316,0
-83.600201,32.619321,25,No,No,No,2,4.2,Very Good,288,0
-83.665557,32.593264,10,No,No,No,1,4.0,Very Good,232,0
-83.7184,32.6147,40,No,No,No,3,4.1,Very Good,314,0
151.7343832,-32.899178,20,No,No,No,2,2.9,Average,11,0
-85.7363,46.3718,10,No,No,No,1,2.4,Poor,17,0
117.917166,-35.025861,30,No,No,No,3,3.8,Good,176,0
-89.653487,42.606306,25,No,No,No,2,3.6,Good,65,0
152.893735,-26.690462,30,No,No,No,3,2.4,Poor,193,0
-106.057666,36.313638,40,No,No,No,3,3.6,Good,30,0
-81.381077,28.540432,40,No,No,No,3,4.4,Very Good,981,0
-81.585226,28.405437,45,No,No,No,3,4.5,Excellent,1151,0
-81.514608,28.372858,35,No,No,No,3,4.7,Excellent,1341,0
-81.517725,28.371338,50,No,No,No,4,4.3,Very Good,782,0
-81.469986,28.440344,40,No,No,No,3,4.6,Excellent,1293,0
-81.4510725,28.4676808,100,No,No,No,4,4.6,Excellent,2324,0
-81.471526,28.437065,45,No,No,No,3,4.3,Very Good,910,0
-81.471447,28.433235,50,No,No,No,4,4.4,Very Good,886,0
-81.364347,28.560505,35,No,No,No,3,4.6,Excellent,1293,0
-81.364547,28.557845,10,No,No,No,1,4.4,Very Good,570,0
-81.487978,28.448175,60,No,No,No,4,4.4,Very Good,1685,0
-81.266871,28.811653,40,No,No,No,3,4.8,Excellent,1699,0
-81.351467,28.543571,25,No,No,No,2,4.9,Excellent,1457,0
-81.522987,28.527592,35,No,No,No,3,4.9,Excellent,1252,0
-81.322631,28.601088,25,No,No,No,2,4.7,Excellent,1412,0
-81.357219,28.597366,25,No,No,No,2,3.6,Good,432,0
-81.3508344,28.5976271,40,No,No,No,3,4.2,Very Good,568,0
-81.352921,28.592857,25,No,No,No,2,4.4,Very Good,797,0
-81.356024,28.593297,40,No,No,No,3,4.4,Very Good,1998,0
145.670768,-16.748083,30,No,No,No,3,4.4,Very Good,381,0
147.7227832,-37.9194154,120,No,No,No,4,2.6,Average,16,0
140.837409,-37.379153,20,No,No,No,2,3.4,Average,19,0
-86.8573393,30.4025979,25,No,No,No,2,4.2,Very Good,635,0
-87.2027,30.4179,40,No,No,No,3,4.9,Excellent,2238,0
-87.1819,30.4251,10,No,No,No,1,4.6,Excellent,792,0
-87.2216,30.4982,10,No,No,No,1,4.5,Excellent,828,0
-87.205855,30.417318,40,No,No,No,3,3.7,Good,292,0
-87.213274,30.403034,25,No,No,No,2,3.9,Good,502,0
-87.2150874,30.4116106,25,No,No,No,2,3.7,Good,559,0
-87.2080932,30.4473322,25,No,No,No,2,4.2,Very Good,1268,0
-87.2092,30.4101,40,No,No,No,3,4.1,Very Good,669,0
-87.2153054,30.411878,40,No,No,No,3,4.4,Very Good,900,0
-87.2252,30.4767,25,No,No,No,2,4.3,Very Good,765,0
-87.211082,30.407358,40,No,No,No,3,4.0,Very Good,1270,0
-87.214,30.4692,25,No,No,No,2,4.1,Very Good,502,0
-87.143,30.3359,40,No,No,No,3,3.9,Good,724,0
-87.142602,30.335521,40,No,No,No,3,3.5,Good,479,0
-87.132932,30.334776,25,No,No,No,2,4.2,Very Good,591,0
-87.164376,30.327864,40,No,No,No,3,4.4,Very Good,1408,0
-87.149178,30.34262,40,No,No,No,3,4.3,Very Good,905,0
-87.4218962,30.3199824,10,No,No,No,1,4.7,Excellent,816,0
-87.427707,30.308468,40,No,No,No,3,4.4,Very Good,747,0
145.237813,-38.448307,20,No,No,No,2,3.7,Good,351,0
-112.3415,43.1903,10,No,No,No,1,3.7,Good,104,0
-112.461326,42.910518,45,No,No,No,3,3.5,Good,83,0
-112.0132,42.62,10,No,No,No,1,3.6,Good,91,0
-112.0127,42.6192,0,No,No,No,1,3.6,Good,59,0
-112.4423,42.8661,40,No,No,No,3,3.7,Good,222,0
-112.4516,42.8919,30,No,No,No,3,3.6,Good,121,0
-112.441,42.8928,10,No,No,No,1,3.5,Good,93,0
-112.4397,42.8631,10,No,No,No,1,3.8,Good,136,0
-112.4365,42.8604,10,No,No,No,1,3.8,Good,160,0
-112.4524,42.8639,25,No,No,No,2,3.7,Good,152,0
-112.459988,42.878077,10,No,No,No,1,3.5,Good,57,0
-112.443213,42.860024,25,No,No,No,2,3.7,Good,191,0
-112.432,42.9012,40,No,No,No,3,3.6,Good,85,0
-112.4433,42.8942,0,No,No,No,1,3.6,Good,108,0
-112.452013,42.88245,25,No,No,No,2,3.6,Good,132,0
-112.45253,42.863969,25,No,No,No,2,3.8,Good,141,0
-112.450106,42.861871,25,No,No,No,2,3.7,Good,162,0
-112.4413856,42.8585987,40,No,No,No,3,3.6,Good,144,0
-112.4419,42.8774,10,No,No,No,1,4.1,Very Good,365,0
-116.704731,32.613431,25,No,No,No,2,3.3,Average,9,0
-74.651139,40.352385,70,No,No,No,4,4.0,Very Good,542,0
-157.948486,21.677078,25,No,No,No,2,4.5,Excellent,691,0
-155.997362,19.642752,35,No,No,No,3,4.7,Excellent,764,0
-156.455284,20.748838,30,No,No,No,3,4.5,Excellent,487,0
-156.451847,20.731487,10,No,No,No,1,4.5,Excellent,695,0
-156.4309473,20.6883746,40,No,No,No,3,4.2,Very Good,485,0
-156.452556,20.733554,40,No,No,No,3,4.2,Very Good,807,0
-156.674835,20.885226,10,No,No,No,1,4.6,Excellent,723,0
-156.684967,20.886564,10,No,No,No,1,4.2,Very Good,874,0
-156.667037,20.992316,25,No,No,No,2,4.4,Very Good,552,0
